County,Median_Household_Income,Poverty_Rate
Fulton,36950.0,17.94483687
Garland,49985.0,16.20376974
Grant,62479.0,14.08681872
Greene,51367.0,16.44732432
Hempstead,43592.0,24.55450473
Hot Spring,46724.0,19.0080507
Howard,39558.0,20.27664257
Independence,50028.0,17.66288836
Izard,45318.0,15.72953737
Jackson,39154.0,20.84296397
Jefferson,43720.0,19.41663319
Johnson,40628.0,18.93084261
Lafayette,36083.0,23.45104334
Lawrence,40746.0,15.50741163
Lee,29082.0,27.71857924
Lincoln,49474.0,15.11404562
Little River,57614.0,12.3558623
Logan,46570.0,15.67814778
Lonoke,62561.0,11.61278844
Madison,47862.0,16.53644244
Marion,41038.0,18.08754371
Miller,46610.0,18.082317
Mississippi,45740.0,21.79086569
Monroe,41667.0,21.44744568
Montgomery,41032.0,18.92342503
Nevada,42670.0,25.17148457
Newton,42817.0,10.30461032
Ouachita,43338.0,21.13690953
Perry,47500.0,15.34598775
Phillips,32235.0,33.33729993
Pike,46672.0,17.73952841
Poinsett,42854.0,20.80451161
Polk,43444.0,20.91510072
Pope,47322.0,17.37542526
Prairie,47335.0,9.976482238
Pulaski,55235.0,15.83236262
Randolph,42225.0,19.26574978
St. Francis,34981.0,28.51788756
Saline,68605.0,8.649645906
Scott,43577.0,15.15151515
Searcy,39627.0,24.12241224
Sebastian,50226.0,17.53413139
Sevier,49470.0,21.64883575
Sharp,37361.0,18.02650957
Stone,32813.0,20.94368837
Union,46444.0,18.519566
Van Buren,40763.0,17.5993874
Washington,56610.0,15.31812337
White,46345.0,15.25834047
Woodruff,43717.0,20.82925237
Yell,51070.0,13.81588753
California,84097.0,12.25067021
Alameda,112017.0,8.913764914
Alpine,96000.0,12.94642857
Amador,69955.0,7.904738468
Butte,59863.0,17.74799735
Calaveras,70119.0,14.12513633
Colusa,61861.0,13.0044012
Contra Costa,110455.0,8.202152519
Del Norte,53280.0,17.29511506
El Dorado,88770.0,8.678022804
Fresno,61276.0,20.17951058
Glenn,56332.0,15.05922166
Humboldt,53350.0,20.26107163
Imperial,49078.0,21.04001084
Inyo,60925.0,10.79745942
Kern,58824.0,19.3511624
Kings,63267.0,16.3652269
Lake,53399.0,16.84786706
Lassen,59292.0,13.86972182
Los Angeles,76367.0,13.85681368
Madera,66709.0,19.56448209
Marin,131008.0,6.93731529
Mariposa,53304.0,13.15371492
Mendocino,56378.0,15.82625118
Merced,58861.0,19.35421167
Modoc,51090.0,19.59952886
Mono,71138.0,9.979462995
Monterey,82013.0,12.15315132
Napa,97498.0,7.653282871
Nevada,74617.0,10.47482157
Orange,100485.0,9.895392276
Placer,99734.0,6.960217253
Plumas,57885.0,11.85404033
Riverside,76066.0,11.955884
Sacramento,76422.0,13.25927727
San Benito,95606.0,7.747810747
San Bernardino,70287.0,14.29671546
San Diego,88240.0,10.71998536
San Francisco,126187.0,10.31105416
San Joaquin,74962.0,13.52691425
San Luis Obispo,82514.0,12.00185582
San Mateo,136837.0,6.165054382
Santa Barbara,84356.0,13.42351254
Santa Clara,140258.0,6.654120948
Santa Cruz,96093.0,10.91507338
Shasta,61937.0,14.17807415
Sierra,56152.0,8.158584535
Siskiyou,49857.0,16.70552203
Solano,89648.0,8.857673397
Sonoma,91607.0,8.673442086
Stanislaus,68368.0,13.59526128
Sutter,67003.0,12.63352276
Tehama,52901.0,17.97510734
Trinity,42206.0,22.48399488
Tulare,57394.0,19.76458743
Tuolumne,66846.0,9.899056312
Ventura,94150.0,8.855051667
Yolo,78386.0,17.22850381
Yuba,62666.0,15.15601594
Colorado,80184.0,9.561742185
Adams,78304.0,9.590514286
Alamosa,46217.0,16.01090767
Arapahoe,84947.0,7.700428482
Archuleta,62907.0,9.752945648
Baca,39891.0,20.45454545
Bent,40972.0,25.43174828
Boulder,92466.0,10.99338668
Broomfield,107570.0,4.401211266
Chaffee,61216.0,11.53037512
Cheyenne,69063.0,11.55474894
Clear Creek,76313.0,5.729054491
Conejos,38536.0,16.33735579
Costilla,35000.0,22.37702587
Crowley,37870.0,24.87268283
Custer,59877.0,7.32017823
Delta,51803.0,16.8746028
Denver,78177.0,11.60028375
Dolores,62500.0,12.36888112
Douglas,127443.0,3.02246162
Eagle,91338.0,9.204235897
Elbert,114904.0,4.20252772
El Paso,75909.0,9.562321734
Fremont,53411.0,14.056183
Garfield,77212.0,7.912762252
Gilpin,96784.0,7.939839105
Grand,69353.0,10.76518167
Gunnison,63341.0,12.97000686
Hinsdale,45714.0,9.324009324
Huerfano,45724.0,17.62220881
Jackson,44667.0,14.59854015
Jefferson,93933.0,6.815353623
Kiowa,45476.0,13.21299639
Kit Carson,52917.0,9.1858635
Lake,73099.0,7.776560789
La Plata,75089.0,9.711915788
Larimer,80664.0,11.14676149
Las Animas,45118.0,21.13990381
Lincoln,46894.0,12.44791667
Logan,50998.0,11.24132983
Mesa,62127.0,11.87511172
Mineral,55556.0,11.96473552
Moffat,58583.0,17.68157915
Montezuma,58335.0,12.20905382
Montrose,57225.0,11.55975563
Morgan,62914.0,11.96400956
Otero,45826.0,21.97048659
Ouray,67228.0,4.400826446
Park,77775.0,6.260555588
Phillips,50951.0,13.53366471
Pitkin,92708.0,5.225680487
Prowers,44984.0,17.29024453
Pueblo,53430.0,17.16487223
Rio Blanco,58239.0,11.52036346
Rio Grande,50287.0,13.92080608
Routt,83725.0,8.639922119
Saguache,48413.0,16.49858178
San Juan,63333.0,14.18338109
San Miguel,70965.0,9.371116083
Sedgwick,44405.0,16.74917492
Summit,93505.0,6.796525572
Teller,68677.0,7.552635874
Washington,54141.0,11.40350877
Weld,80843.0,9.692233527
Yuma,56327.0,14.49937682
Connecticut,83572.0,10.03158381
Fairfield,101194.0,9.19474671
Hartford,80320.0,10.94624398
Litchfield,84797.0,7.804448432
Middlesex,90833.0,6.430809727
New Haven,75043.0,11.47249837
New London,79040.0,8.699495929
Tolland,88525.0,9.702528654
Windham,71418.0,11.32929431
Delaware,72724.0,11.43509536
Kent,63715.0,13.25037776
New Castle,78428.0,10.58487978
Sussex,68886.0,12.08974331
District of Columbia,93547.0,15.44125546
District of Columbia,93547.0,15.44125546
Florida,61777.0,13.11440787
Alachua,53314.0,20.12094934
Baker,63860.0,11.67009312
Bay,60473.0,12.92864928
Bradford,48803.0,19.4490818
Brevard,63632.0,10.59543262
Broward,64522.0,12.3751624
Calhoun,38098.0,18.19700894
Charlotte,57887.0,10.51450801
Citrus,48664.0,14.88672705
Clay,74059.0,9.576457312
Collier,75543.0,10.60086545
Columbia,47750.0,14.35627366
DeSoto,39945.0,25.31763536
Dixie,44287.0,15.72639386
Duval,59541.0,14.4626909
Escambia,56605.0,14.54292618
Flagler,62305.0,11.05822076
Franklin,52679.0,19.09458063
Gadsden,42661.0,24.24257208
Gilchrist,50983.0,12.19823655
Glades,38088.0,19.87364118
Gulf,53812.0,9.822006473
Hamilton,39346.0,26.39133253
Hardee,41395.0,26.22550053
Hendry,38843.0,25.8867711
Hernando,53301.0,13.16317267
Highlands,46895.0,15.89039723
Hillsborough,64164.0,14.0253012
Holmes,41809.0,18.81581896
Indian River,61594.0,10.67185606
Jackson,43416.0,18.05277345
Jefferson,53080.0,17.12970189
Lafayette,56458.0,14.95622219
Lake,60013.0,10.72007172
Lee,63235.0,12.0460768
Leon,57359.0,19.30655988
Levy,43029.0,18.04260985
Liberty,42438.0,20.49130302
Madison,39503.0,25.39383669
Manatee,64964.0,10.35547142
Marion,50808.0,14.61575565
Martin,69769.0,10.47262222
Miami-Dade,57815.0,15.68350884
Monroe,73153.0,10.96563213
Nassau,77504.0,9.63109144
Okaloosa,67390.0,10.97748663
Okeechobee,47020.0,19.77254042
Orange,65784.0,13.8987583
Osceola,58513.0,13.51496618
Palm Beach,68874.0,11.59946338
Pasco,58084.0,12.18440001
Pinellas,60451.0,11.54313603
Polk,55099.0,14.56979591
Putnam,39975.0,23.70067004
St. Johns,88794.0,7.652407373
St. Lucie,59807.0,11.81560231
Santa Rosa,77260.0,8.839055324
Sarasota,69490.0,8.142785633
Seminole,73002.0,9.471601379
Sumter,63323.0,9.658451568
Suwannee,47218.0,15.18969082
Taylor,43563.0,18.24495645
Union,55463.0,17.03531238
Volusia,56786.0,12.89793764
Wakulla,72941.0,6.184943926
Walton,68111.0,12.7801096
Washington,41806.0,22.33313671
Georgia,65030.0,13.91682546
Appling,39588.0,25.41186842
Atkinson,35741.0,26.90811862
Bacon,40391.0,24.45018168
Baker,33417.0,25.06830601
Baldwin,50413.0,22.56041836
Banks,57893.0,13.15614249
Barrow,68365.0,10.45031816
Bartow,65559.0,12.02493616
Ben Hill,34455.0,25.64618205
Berrien,44907.0,21.06614569
Bibb,43862.0,25.24539979
Bleckley,48786.0,18.03511261
Brantley,38211.0,16.81209359
Brooks,39770.0,23.10940022
Bryan,81032.0,8.816829382
Bulloch,50583.0,22.51210367
Burke,47837.0,15.350086
Butts,53613.0,19.11176972
Calhoun,43549.0,26.11183355
Camden,61636.0,15.9966161
Candler,36763.0,24.9413531
Carroll,62498.0,17.27977781
Catoosa,62669.0,8.701308411
Charlton,45494.0,21.32475998
Chatham,61064.0,14.13494968
Chattahoochee,50018.0,17.76893751
Chattooga,37946.0,21.50744961
Cherokee,90681.0,7.037632506
Clarke,44070.0,26.18949748
Clay,35893.0,25.65186751
Clayton,51945.0,16.43546222
Clinch,47750.0,30.18471242
Cobb,86013.0,8.605902873
Coffee,44450.0,22.22779352
Colquitt,41623.0,23.83601563
Columbia,85928.0,6.866585707
Cook,45702.0,20.52311507
Coweta,83486.0,8.539570491
Crawford,53132.0,13.55705819
Crisp,41605.0,26.23680656
Dade,47675.0,9.839679359
Dawson,77630.0,9.663007895
Decatur,45134.0,21.03168913
DeKalb,69423.0,13.50301441
Dodge,41362.0,20.85764615
Dooly,39641.0,22.55926075
Dougherty,42225.0,26.30281012
Douglas,67731.0,12.16878947
Early,39665.0,25.0
Echols,45151.0,25.44026009
Effingham,72279.0,7.596886912
Elbert,39904.0,23.47283598
Emanuel,42880.0,24.93229908
Evans,49325.0,23.65403304
Fannin,49810.0,11.63470393
Fayette,96084.0,5.4131835
Floyd,52388.0,18.67771412
Forsyth,120999.0,5.281832473
Franklin,49636.0,19.04300744
Fulton,77635.0,12.86438939
Gilmer,60504.0,15.14363707
Glascock,53125.0,15.60408595
Glynn,60775.0,16.77420911
Gordon,50520.0,16.06395195
Grady,47721.0,17.48995053
Greene,65759.0,14.7826087
Gwinnett,75853.0,10.51474477
Habersham,56680.0,12.92504444
Hall,67571.0,13.98800284
Hancock,33946.0,29.0940493
Haralson,57752.0,11.39188635
Harris,82244.0,6.06957809
Hart,54506.0,14.85441948
Heard,55635.0,20.3826734
Henry,73491.0,8.603687538
Houston,70313.0,10.32720866
Irwin,42312.0,20.88323353
Jackson,73455.0,9.745437606
Jasper,52322.0,16.152019
Jeff Davis,39668.0,21.22512946
Jefferson,42238.0,18.19736842
Jenkins,29061.0,27.92566549
Johnson,46292.0,19.54798249
Jones,61701.0,14.18839391
Lamar,53802.0,12.46651916
Lanier,33956.0,34.0911461
Laurens,42315.0,24.97512438
Lee,74935.0,9.895282928
Liberty,50617.0,16.79572807
Lincoln,44087.0,18.47654191
Long,52742.0,18.41925253
Lowndes,48703.0,22.91511871
Lumpkin,64179.0,12.0938742
McDuffie,50721.0,16.8813055
McIntosh,49951.0,19.73142346
Macon,33163.0,27.32128982
Madison,51854.0,22.12672733
Marion,47250.0,13.52799357
Meriwether,46789.0,21.92195122
Miller,51983.0,22.71638727
Mitchell,43427.0,26.5433667
Monroe,67154.0,14.45199564
Montgomery,48717.0,17.02262904
Morgan,71000.0,6.526565808
Murray,53821.0,15.14380897
Muscogee,50542.0,19.5388883
Newton,64767.0,13.57557291
Oconee,106165.0,4.665209812
Oglethorpe,58791.0,10.59548255
Paulding,80234.0,6.310316974
Peach,53215.0,19.15657072
Pickens,71637.0,12.59438885
Pierce,50820.0,17.92317173
Pike,76152.0,8.527467765
Polk,48958.0,18.06828625
Pulaski,44946.0,17.4994163
Putnam,55757.0,17.74802135
Quitman,31594.0,18.85282348
Rabun,48652.0,16.89978108
Randolph,28870.0,30.688
Richmond,46237.0,22.07843338
Rockdale,64230.0,11.85737256
Schley,50586.0,17.30852445
Screven,43167.0,17.30134273
Seminole,40579.0,24.82238011
Spalding,51972.0,17.35352949
Stephens,50194.0,13.46780206
Stewart,39020.0,26.37655417
Sumter,36687.0,24.15389066
Talbot,40719.0,16.7786391
Taliaferro,39670.0,21.34688691
Tattnall,49977.0,20.08811497
Taylor,36293.0,28.74935132
Telfair,42971.0,26.16616617
Terrell,38879.0,30.05464481
Thomas,52315.0,17.22646198
Tift,46245.0,22.10133824
Toombs,42975.0,20.10074809
Towns,53084.0,14.23945388
Treutlen,35441.0,32.05892089
Troup,49042.0,19.11528427
Turner,35828.0,27.18253968
Twiggs,45824.0,15.74398798
Union,52509.0,14.93926954
Upson,43257.0,22.41320946
Walker,48633.0,13.79768629
Walton,71692.0,11.46402984
Ware,39419.0,23.82782246
Warren,37309.0,27.4068323
Washington,39350.0,18.18231922
Wayne,45115.0,18.83975746
Webster,32083.0,29.43412162
Wheeler,26776.0,23.03112314
White,64729.0,11.95839918
Whitfield,52439.0,15.0896625
Wilcox,41406.0,25.98779779
Wilkes,43859.0,21.42857143
Wilkinson,34680.0,26.04000909
Worth,54791.0,18.50587604
Hawaii,88005.0,9.45347412
Hawaii,68399.0,13.79420343
Honolulu,92600.0,8.597100806
Kalawao,79583.0,20.93023256
Kauai,86287.0,9.149856904
Maui,88249.0,9.486581743
Idaho,63377.0,11.37418404
Ada,75115.0,9.166949058
Adams,52746.0,16.05975724
Bannock,56472.0,12.70467454
Bear Lake,60337.0,13.10509554
Benewah,50257.0,14.69866667
Bingham,63106.0,11.03639072
Blaine,71749.0,9.942502203
Boise,64125.0,11.63192139
Bonner,55206.0,11.69344333
Bonneville,64928.0,9.532172948
Boundary,51261.0,17.38874401
Butte,41552.0,22.99528302
Camas,37367.0,14.36781609
Canyon,60716.0,11.08935533
Caribou,65528.0,6.666666667
Cassia,57547.0,10.14600654
Clark,48088.0,5.244338498
Clearwater,50787.0,13.62887904
Custer,47663.0,15.12723845
Elmore,48475.0,14.25762045
Franklin,56677.0,11.44253576
Fremont,61875.0,12.04527713
Gem,59957.0,10.73468043
Gooding,56734.0,14.9836708
Idaho,47508.0,11.79055751
Jefferson,69097.0,7.955069504
Jerome,61280.0,15.83797596
Kootenai,64936.0,9.316829899
Latah,56673.0,16.20211451
Lemhi,46105.0,12.43132746
Lewis,44028.0,16.21245829
Lincoln,55988.0,12.3540856
Madison,53498.0,24.27017745
Minidoka,56140.0,17.99123757
Nez Perce,61810.0,14.64930743
Oneida,64766.0,11.58129176
Owyhee,54669.0,15.20733379
Payette,59540.0,10.84674314
Power,52116.0,9.669992325
Shoshone,43188.0,15.11843939
Teton,75837.0,8.14601847
Twin Falls,57430.0,12.99928451
Valley,67528.0,10.61486963
Washington,45065.0,13.79477251
Illinois,72563.0,11.83928125
Adams,58587.0,11.92913447
Alexander,39871.0,24.5339299
Bond,53654.0,15.10096576
Boone,74076.0,9.319091115
Brown,59346.0,9.668695064
Bureau,59407.0,12.22103821
Calhoun,74792.0,6.898891654
Carroll,54959.0,11.69793366
Cass,58364.0,13.2982429
Champaign,56939.0,18.33814931
Christian,53188.0,10.63559059
Clark,66067.0,7.948533734
Clay,53900.0,15.70020628
Clinton,72468.0,7.412928193
Coles,48534.0,19.75744061
Cook,72121.0,13.4813897
Crawford,54942.0,10.57276657
Cumberland,66530.0,9.62690895
DeKalb,64019.0,15.62577627
De Witt,60401.0,11.11689325
Douglas,63142.0,10.32451426
DuPage,100292.0,6.105851844
Edgar,50843.0,11.35232384
Edwards,55833.0,13.51438733
Effingham,65590.0,10.52353097
Fayette,47744.0,17.18211341
Ford,55011.0,13.09930856
Franklin,47751.0,18.36198343
Fulton,53441.0,14.79125123
Gallatin,52597.0,16.7428004
Greene,54427.0,13.43107516
Grundy,81764.0,6.101446197
Hamilton,58306.0,12.80110985
Hancock,58188.0,12.51355826
Hardin,51738.0,12.44824731
Henderson,62202.0,8.354075918
Henry,62097.0,10.00206101
Iroquois,58481.0,10.32129869
Jackson,41699.0,23.84254171
Jasper,60237.0,11.67243617
Jefferson,54692.0,15.08835523
Jersey,71655.0,7.015834348
Jo Daviess,61289.0,8.965359027
Johnson,58502.0,13.74038814
Kane,88935.0,8.44059232
Kankakee,61664.0,13.23319854
Kendall,101816.0,4.3603468
Knox,45994.0,16.15557055
Lake,97127.0,7.557241609
LaSalle,62825.0,13.68309277
Lawrence,52020.0,13.77199694
Lee,62250.0,11.95081337
Livingston,61419.0,11.91068467
Logan,59809.0,10.42589857
McDonough,45704.0,19.38226126
McHenry,93801.0,6.283805694
McLean,70339.0,15.71328336
Macon,55954.0,15.3406162
Macoupin,58227.0,14.99525037
Madison,66882.0,12.16729016
Marion,53209.0,16.87860639
Marshall,60231.0,11.3654441
Mason,54415.0,14.01088373
Massac,57658.0,14.0104577
Menard,79743.0,6.56880433
Mercer,59972.0,9.990350595
Monroe,92950.0,3.218959
Montgomery,59309.0,14.62393363
Morgan,55261.0,13.00986842
Moultrie,67309.0,8.575013943
Ogle,67534.0,8.826298447
Peoria,58426.0,15.61617585
Perry,53108.0,19.004109
Piatt,77559.0,5.765060241
Pike,51529.0,13.71242102
Pope,48013.0,21.47409255
Pulaski,40197.0,18.24453814
Putnam,67419.0,9.577114428
Randolph,58093.0,13.21173554
Richland,59963.0,13.5246429
Rock Island,58974.0,14.68928981
St. Clair,63017.0,13.62253113
Saline,47541.0,17.00021427
Sangamon,66149.0,14.08890179
Schuyler,58447.0,17.24789305
Scott,63555.0,12.09627649
Shelby,60103.0,9.005100825
Stark,55109.0,13.26299925
Stephenson,53806.0,14.09514735
Tazewell,68860.0,8.874366807
Union,53363.0,19.54705882
Vermilion,49063.0,18.64539165
Wabash,49680.0,13.87068202
Warren,59673.0,12.24515639
Washington,67030.0,7.491353301
Wayne,51540.0,14.4691358
White,51351.0,15.27345487
Whiteside,59812.0,12.14199715
Will,95751.0,6.790485016
Williamson,54682.0,13.91898984
Winnebago,57779.0,15.86148474
Woodford,76486.0,6.196626815
Indiana,61944.0,12.5021352
Adams,56037.0,15.32648212
Allen,61456.0,12.34460388
Bartholomew,71183.0,11.61579848
Benton,56155.0,16.70948155
Blackford,45080.0,18.21064931
Boone,94843.0,5.867665418
Brown,67737.0,8.653088042
Carroll,56929.0,6.46800877
Cass,51776.0,13.2505625
Clark,62296.0,9.953707615
Clay,63361.0,9.536997309
Clinton,55582.0,10.62932291
Crawford,42465.0,19.18997107
Daviess,57083.0,10.99085879
Dearborn,72674.0,9.304754826
Decatur,65000.0,10.3308965
DeKalb,60757.0,10.35485611
Delaware,49321.0,20.56840764
Dubois,65389.0,10.25020557
Elkhart,61182.0,11.40352607
Fayette,48101.0,16.95776851
Floyd,69858.0,9.489434814
Fountain,54475.0,11.00776149
Franklin,69440.0,6.934064476
Fulton,56885.0,14.21910253
Gibson,59697.0,10.76674637
Grant,50009.0,18.82360617
Greene,55470.0,12.81908444
Hamilton,104858.0,3.956294386
Hancock,79126.0,4.813796294
Harrison,63586.0,8.433271833
Hendricks,87961.0,5.201384984
Henry,54154.0,13.65117815
Howard,59238.0,11.62557725
Huntington,56705.0,10.52348309
Jackson,59504.0,13.35168771
Jasper,69632.0,8.120959722
Jay,48904.0,14.74115383
Jefferson,53784.0,13.77649012
Jennings,63612.0,12.50975873
Johnson,77977.0,7.596860611
Knox,51784.0,15.08068517
Kosciusko,66764.0,8.944083556
LaGrange,75624.0,5.322397476
Lake,62052.0,14.74905916
LaPorte,60226.0,14.3206467
Lawrence,60041.0,10.98126632
Madison,54491.0,15.09768663
Marion,54601.0,15.91361822
Marshall,58296.0,11.42787954
Martin,57199.0,12.44393449
Miami,53762.0,15.62351966
Monroe,54096.0,21.825534
Montgomery,58311.0,12.20585001
Morgan,71882.0,8.857403501
Newton,62306.0,11.28901946
Noble,63292.0,7.318813937
Ohio,63036.0,9.963985594
Orange,56572.0,13.63847224
Owen,53831.0,14.24937608
Parke,57156.0,15.49606089
Perry,54387.0,10.6323319
Pike,57283.0,10.14892905
Porter,76736.0,10.10786794
Posey,69323.0,9.329446064
Pulaski,52098.0,11.47341031
Putnam,64993.0,9.750689011
Randolph,54912.0,12.15684651
Ripley,64221.0,10.18954019
Rush,58887.0,11.45084663
St. Joseph,58599.0,14.44510322
Scott,45794.0,16.58132787
Shelby,64070.0,9.314762978
Spencer,59624.0,7.398943734
Starke,52802.0,14.82136693
Steuben,61698.0,10.3330278
Sullivan,49393.0,13.9994599
Switzerland,56268.0,20.55384615
Tippecanoe,53468.0,18.44508141
Tipton,65983.0,10.61776062
Union,60750.0,5.068394528
Vanderburgh,54044.0,15.24678465
Vermillion,53396.0,15.1891253
Vigo,48552.0,19.81117694
Wabash,59611.0,12.37423859
Warren,68136.0,11.52921375
Warrick,85613.0,5.639511689
Washington,53932.0,12.21719457
Wayne,49952.0,16.40373091
Wells,62802.0,7.044098385
White,60327.0,8.642942559
Whitley,67716.0,9.125872041
Iowa,65429.0,11.01261818
Adair,57944.0,11.50199258
Adams,57981.0,11.70623965
Allamakee,59461.0,10.5068523
Appanoose,46900.0,19.35774556
Audubon,54643.0,11.31017011
Benton,72334.0,8.493780208
Black Hawk,57191.0,14.96955452
Boone,70984.0,6.603773585
Bremer,76782.0,7.416606004
Buchanan,71024.0,8.026477078
Buena Vista,53645.0,9.921882926
Butler,61109.0,11.12285151
Calhoun,60434.0,10.66652286
Carroll,61157.0,8.274613427
Cass,55395.0,13.87448735
Cedar,72714.0,7.61810264
Cerro Gordo,58271.0,9.599019354
Cherokee,59881.0,12.08976406
Chickasaw,67146.0,6.235722142
Clarke,58617.0,15.81654072
Clay,52307.0,12.22084367
Clayton,58148.0,12.17607384
Clinton,56345.0,12.7153944
Crawford,55552.0,18.06030273
Dallas,93492.0,5.684488531
Davis,76755.0,9.609375
Decatur,52753.0,15.3
Delaware,69319.0,8.560894112
Des Moines,54318.0,13.97301114
Dickinson,65215.0,7.207518884
Dubuque,68198.0,9.307182135
Emmet,58357.0,12.60124971
Fayette,50973.0,12.19101715
Floyd,55827.0,11.8175357
Franklin,59019.0,12.56189995
Fremont,63611.0,8.001216915
Greene,52768.0,11.22718402
Grundy,74552.0,5.149229256
Guthrie,67625.0,9.778879146
Hamilton,62183.0,7.844456405
Hancock,64730.0,10.74178404
Hardin,58845.0,8.957986304
Harrison,67950.0,8.478351664
Henry,58767.0,10.2546492
Howard,60387.0,8.225528245
Humboldt,60008.0,14.2812139
Ida,57266.0,11.87381335
Iowa,64720.0,9.258693394
Jackson,65541.0,11.13017259
Jasper,63182.0,8.777429467
Jefferson,47950.0,14.1681598
Johnson,67414.0,16.7033893
Jones,63279.0,9.89462863
Keokuk,54233.0,12.5
Kossuth,59878.0,11.48403855
Lee,54258.0,12.9919437
Linn,70360.0,9.569793354
Louisa,65867.0,10.04277478
Lucas,55297.0,13.9225609
Lyon,69113.0,4.546994073
